title,category,primary_keyword,suggested_intent,suggested_audiences,suggested_anchor,status,notes
"Budget IA pour PME 50 personnes : la répartition idéale",Tarifs,budget ia pme,commercial_investigation,"pme:entreprise_privee","",pending,Budget PME
"ROI d'une implémentation IA : 12 cas chiffrés",Stratégie,roi implementation ia,commercial_investigation,"pme:entreprise_privee","",pending,ROI cas
"Conduite du changement IA : 7 erreurs à éviter",Méthodologie,conduite changement ia,informational,"pme:entreprise_privee","",pending,Changement
"Acculturation IA équipe : 5 ateliers en 30 jours",Méthodologie,acculturation ia equipe,commercial_investigation,"pme:entreprise_privee","",pending,Acculturation
"Roadmap adoption IA dirigeant : 90 jours pour démarrer",Stratégie,roadmap adoption ia dirigeant,informational,"pme:entreprise_privee","",pending,Roadmap dirigeant
"Gouvernance IA en entreprise : les règles de base 2026",Stratégie,gouvernance ia entreprise,informational,"eti:entreprise_privee","",pending,Gouvernance
"AI Act : ce qui change pour votre PME en 2026",Conformité,ai act application,informational,"pme:entreprise_privee","",pending,AI Act
"RGPD et IA : 10 points à vérifier avant déploiement",Conformité,rgpd ia entreprise,informational,"pme:entreprise_privee","",pending,RGPD checklist
"Souveraineté des données IA : où héberger en 2026",Conformité,souverainete donnees ia,informational,"pme:entreprise_privee","",pending,Souveraineté
"Charte IA en entreprise : modèle prêt à l'emploi",Conformité,charte ia entreprise,commercial_investigation,"pme:entreprise_privee","",pending,Charte modèle
"Politique d'usage IA pour vos salariés : exemple commenté",Conformité,politique usage ia collaborateurs,commercial_investigation,"pme:entreprise_privee","",pending,Politique
"Shadow IA : comment l'identifier et la cadrer",Conformité,shadow ia entreprise,informational,"eti:entreprise_privee","",pending,Shadow IA
"Biais IA : 5 cas réels rencontrés en audit (et leur résolution)",Conformité,biais ia entreprise,informational,"pme:entreprise_privee","",pending,Biais
"Éthique IA : 7 principes opérationnels pour PME",Conformité,ethique ia entreprise,informational,"pme:entreprise_privee","",pending,Éthique
"Maintenance prédictive IA : retour terrain industrie",Cas d'usage,maintenance predictive ia,informational,"pme:entreprise_privee","",pending,Industrie
"Contrôle qualité IA : vision par ordinateur en PME",Cas d'usage,controle qualite ia,informational,"pme:entreprise_privee","",pending,Industrie
"KYC automatisé IA : comment x3 la rapidité d'onboarding banque",Cas d'usage,kyc automatise ia,informational,"eti:entreprise_privee","",pending,Banque
"Détection de fraude IA en banque : approche en 4 couches",Cas d'usage,detection fraude ia banque,informational,"eti:entreprise_privee","",pending,Banque fraude
"Recommandation produits IA en e-commerce : 5 modèles testés",Cas d'usage,recommandation produits ia,informational,"pme:entreprise_privee","",pending,E-commerce
"Génération de fiches produits IA : workflow complet",Cas d'usage,fiches produits ia,informational,"pme:entreprise_privee","",pending,E-commerce
"Chatbot SAV IA : combien d'incidents en moins ?",Cas d'usage,chatbot ia service client,informational,"pme:entreprise_privee","",pending,SAV chatbot
"Voicebot pour standard téléphonique : ROI mois 3",Cas d'usage,voicebot entreprise,informational,"tpe:entreprise_privee","",pending,Voicebot
"Compte-rendu de réunion IA : 7 outils testés",Outils,compte rendu reunion ia,commercial_investigation,"pme:entreprise_privee","",pending,CR réunion
"Prise de notes IA : Granola vs Otter en conditions réelles",Outils,prise de notes ia,commercial_investigation,"pme:entreprise_privee","",pending,Notes IA
"Boîte mail IA pour dirigeant : workflow et gains réels",Cas d'usage,boite mail ia dirigeant,informational,"pme:entreprise_privee","",pending,Mail dirigeant
"Résumé d'email IA : configurer en 15 minutes",Cas d'usage,resume email ia,commercial_investigation,"tpe:entreprise_privee","",pending,Résumé mail
"Brouillon mail IA : 5 prompts qui changent tout",Cas d'usage,brouillon mail ia,commercial_investigation,"tpe:entreprise_privee","",pending,Brouillon mail
"Prospection LinkedIn automatisée IA : 3 frameworks éthiques",Cas d'usage,prospection linkedin ia,informational,"tpe:entreprise_privee","",pending,LinkedIn
"Devis automatique IA : du brief à la PDF signée en 30 minutes",Cas d'usage,devis automatique ia,commercial_investigation,"tpe:entreprise_privee","",pending,Devis
"Contrat automatique IA + signature électronique : workflow complet",Cas d'usage,contrat automatique ia,commercial_investigation,"pme:entreprise_privee","",pending,Contrat
"Veille concurrence IA : tableau de bord en 1 journée",Cas d'usage,veille concurrence ia,commercial_investigation,"pme:entreprise_privee","",pending,Veille
"Recherche sémantique entreprise : RAG pour 100K documents internes",Cas d'usage,recherche semantique entreprise,informational,"eti:entreprise_privee","",pending,Search interne
"Base de connaissance IA : transformer Notion/Confluence en moteur",Cas d'usage,base connaissance ia,commercial_investigation,"pme:entreprise_privee","",pending,KB
"Onboarding salariés IA : 30 jours sans manager présent",Cas d'usage,onboarding nouveaux salaries ia,informational,"pme:entreprise_privee","",pending,Onboarding
"Tri de CV IA : comment éviter les biais (vraiment)",Cas d'usage,tri cv ia,informational,"pme:entreprise_privee","",pending,RH
"Sourcing de candidats IA : 5 outils testés",Outils,sourcing candidats ia,commercial_investigation,"pme:entreprise_privee","",pending,Sourcing
"SEO en 2026 : ce que change l'IA générative (et ce qui ne change pas)",Stratégie,seo contenu ia,informational,"pme:entreprise_privee","",pending,SEO IA
"Génération d'articles SEO IA : éviter le piège HCU 2024",Méthodologie,generation article seo ia,informational,"tpe:entreprise_privee","",pending,SEO HCU
"Content marketing IA : pipeline production 100 articles/mois",Méthodologie,content marketing ia,informational,"pme:entreprise_privee","",pending,Content marketing
"Calendrier éditorial IA : workflow complet en 2026",Méthodologie,calendrier editorial ia,commercial_investigation,"tpe:entreprise_privee","",pending,Calendrier
"Newsletter IA : rédiger 4 numéros en 2 heures",Cas d'usage,redaction newsletter ia,informational,"tpe:entreprise_privee","",pending,Newsletter
"Posts LinkedIn IA : 5 prompts pour ne plus jamais sécher",Cas d'usage,post linkedin ia,informational,"tpe:entreprise_privee","",pending,LinkedIn posts
"Analyse de sentiment client IA : 3 cas pratiques",Cas d'usage,analyse sentiment client ia,informational,"pme:entreprise_privee","",pending,Sentiment
"Réponse automatique aux avis Google : workflow IA + humain",Cas d'usage,reponse avis google ia,commercial_investigation,"tpe:entreprise_privee","",pending,Avis Google
"Réponse aux appels d'offres IA : gagner 60 % de temps",Cas d'usage,reponse appel offres ia,informational,"pme:entreprise_privee","",pending,AO
"Veille des marchés publics IA : configurer en 1 journée",Cas d'usage,veille marches publics ia,commercial_investigation,"pme:entreprise_privee","",pending,Veille MP
"Cold email IA : pourquoi 90 % des prompts échouent",Cas d'usage,cold email ia,informational,"tpe:entreprise_privee","",pending,Cold email
"Lead scoring IA : modèle vs règles, lequel choisir",Cas d'usage,scoring leads ia,informational,"pme:entreprise_privee","",pending,Scoring
"Intégrer Claude dans Slack : 4 use cases concrets",Cas d'usage,integrer claude dans slack,commercial_investigation,"pme:entreprise_privee","",pending,Slack
"Intégrer ChatGPT dans Microsoft Teams : workflow IT-friendly",Cas d'usage,integrer chatgpt dans teams,commercial_investigation,"pme:entreprise_privee","",pending,Teams
"Copilote IA pour comptable : journée type avant/après",Cas d'usage,copilote ia comptable,informational,"tpe:entreprise_privee","",pending,Copilote comptable
"Copilote IA pour juriste : 4 cas validés barreau",Cas d'usage,copilote ia juriste,informational,"tpe:entreprise_privee","",pending,Copilote juriste
"Copilote IA pour commercial : pipeline + relance + RDV",Cas d'usage,copilote ia commercial,informational,"pme:entreprise_privee","",pending,Copilote commercial
"Copilote IA pour RH : 6 workflows testés",Cas d'usage,copilote ia rh,informational,"pme:entreprise_privee","",pending,Copilote RH
"Copilote IA pour marketing : génération + analyse + reporting",Cas d'usage,copilote ia marketing,informational,"pme:entreprise_privee","",pending,Copilote marketing
"Copilote IA pour CEO : 1 heure qui change la semaine",Cas d'usage,copilote ia ceo,informational,"pme:entreprise_privee","",pending,Copilote CEO
"Copilote IA pour CFO : reporting financier en 30 minutes",Cas d'usage,copilote ia cfo,informational,"eti:entreprise_privee","",pending,Copilote CFO
"Agent IA autonome : démystifier ce qui fonctionne en 2026",Stratégie,agent ia autonome,informational,"pme:entreprise_privee","",pending,Agents
"Multi-agent system : utile ou hype ?",Stratégie,multi agent system,informational,"eti:entreprise_privee","",pending,Multi-agent
"LLM open source vs propriétaire : matrice de décision",Stratégie,llm open source vs proprietaire,commercial_investigation,"eti:entreprise_privee","",pending,OSS LLM
"LLM auto-hébergé : combien ça coûte vraiment ?",Outils,llm auto heberge,commercial_investigation,"eti:entreprise_privee","",pending,Self-hosted
"GPU pour IA en entreprise : louer vs acheter",Outils,gpu ia entreprise,commercial_investigation,"eti:entreprise_privee","",pending,GPU
"Llama 3 vs Mistral vs Gemini : benchmark PME 2026",Outils,llama vs mistral vs gemini,commercial_investigation,"pme:entreprise_privee","",pending,LLM compare
"pgvector vs Pinecone vs Weaviate : choisir sa vector DB",Outils,pgvector vs pinecone,commercial_investigation,"pme:entreprise_privee","",pending,VectorDB
"LangChain vs LlamaIndex vs CrewAI : framework agents",Outils,langchain vs llamaindex,commercial_investigation,"pme:entreprise_privee","",pending,Agents framework
"Tendances IA 2026 : 7 prédictions argumentées",Stratégie,tendances ia 2026,informational,"pme:entreprise_privee","",pending,Tendances
"Roadmap IA 2026 : la feuille de route PME",Stratégie,roadmap ia 2026,informational,"pme:entreprise_privee","",pending,Roadmap
"Échec d'implémentation IA : 5 cas étudiés (et leçons)",Stratégie,echec implementation ia,informational,"pme:entreprise_privee","",pending,Échecs
"Risques IA en entreprise : la grille d'analyse",Conformité,risques ia entreprise,informational,"pme:entreprise_privee","",pending,Risques
"Formation équipe à l'IA : programme 5 jours",Méthodologie,formation equipe ia,commercial_investigation,"pme:entreprise_privee","",pending,Formation
"Upskilling IA salariés : éviter les 3 pièges",Méthodologie,upskilling ia salaries,informational,"pme:entreprise_privee","",pending,Upskilling
"Plan formation IA financé par OPCO : démarches simples",Méthodologie,plan formation ia opco,commercial_investigation,"pme:entreprise_privee","",pending,OPCO
"CPF formation IA : ce qui est éligible en 2026",Tarifs,cpf formation ia,informational,"tpe:entreprise_privee","",pending,CPF
"Prompt engineering : 12 patterns qui marchent",Méthodologie,prompt engineering formation,informational,"pme:entreprise_privee","",pending,Prompt eng
"Prompts Claude pour cabinet comptable : 10 exemples opérationnels",Outils,prompts claude cabinet comptable,commercial_investigation,"tpe:entreprise_privee","",pending,Prompts comptable
"Prompts ChatGPT pour cabinet d'avocats : 10 exemples",Outils,prompts chatgpt avocats,commercial_investigation,"tpe:entreprise_privee","",pending,Prompts avocats
"Bibliothèque de prompts IA pour PME : 50 modèles prêts",Outils,bibliotheque prompts ia,commercial_investigation,"pme:entreprise_privee","",pending,Bibliothèque
"Solutions IA françaises 2026 : panorama des alternatives",Outils,solution ia francaise,commercial_investigation,"pme:entreprise_privee","",pending,FR IA
"Alternative à ChatGPT pour PME : 5 options crédibles",Outils,alternative chatgpt entreprise,commercial_investigation,"pme:entreprise_privee","",pending,Alt ChatGPT
"Réseaux sociaux IA : automatiser sans perdre son ton",Cas d'usage,reseaux sociaux ia,informational,"tpe:entreprise_privee","",pending,Social
"Posts Instagram IA : pipeline production hebdo",Cas d'usage,post instagram ia,informational,"tpe:entreprise_privee","",pending,Instagram
"Brand monitoring IA : configurer en 2 heures",Cas d'usage,brand monitoring ia,commercial_investigation,"pme:entreprise_privee","",pending,Brand
"Audit IA à Paris : 3 cas terrain dans le tertiaire",Cas d'usage,audit ia paris,local,"pme:entreprise_privee",paris,pending,Local Paris
"Audit IA à Lyon : industrie + tertiaire en 5 jours",Cas d'usage,audit ia lyon,local,"pme:entreprise_privee",lyon,pending,Local Lyon
"Audit IA à Marseille : 5 verticaux testés",Cas d'usage,audit ia marseille,local,"pme:entreprise_privee",marseille,pending,Local Marseille
"Audit IA à Bordeaux : vins, conseil, immobilier",Cas d'usage,audit ia bordeaux,local,"pme:entreprise_privee",bordeaux,pending,Local Bordeaux
"Audit IA à Toulouse : aéronautique et sous-traitance",Cas d'usage,audit ia toulouse,local,"pme:entreprise_privee",toulouse,pending,Local Toulouse
"Audit IA à Lille : logistique et retail",Cas d'usage,audit ia lille,local,"pme:entreprise_privee",lille,pending,Local Lille
"Audit IA à Nantes : naval et services",Cas d'usage,audit ia nantes,local,"pme:entreprise_privee",nantes,pending,Local Nantes
"Audit IA à Strasbourg : pharma et cross-border",Cas d'usage,audit ia strasbourg,local,"pme:entreprise_privee",strasbourg,pending,Local Strasbourg
"Audit IA à Montpellier : santé et tech",Cas d'usage,audit ia montpellier,local,"pme:entreprise_privee",montpellier,pending,Local Montpellier
"Audit IA à Rennes : tech et agro-alimentaire",Cas d'usage,audit ia rennes,local,"pme:entreprise_privee",rennes,pending,Local Rennes
"Audit IA à Grenoble : microélectronique + recherche",Cas d'usage,audit ia grenoble,local,"pme:entreprise_privee",grenoble,pending,Local Grenoble
"Audit IA à Nice : tourisme premium et tech",Cas d'usage,audit ia nice,local,"pme:entreprise_privee",nice,pending,Local Nice
"Audit IA à Mulhouse : tissu industriel transfrontalier",Cas d'usage,audit ia mulhouse,local,"pme:entreprise_privee",mulhouse,pending,Local Mulhouse
"Audit IA au Havre : portuaire et logistique",Cas d'usage,audit ia le havre,local,"pme:entreprise_privee",le-havre,pending,Local Havre
"Audit IA à Reims : champagne et services",Cas d'usage,audit ia reims,local,"pme:entreprise_privee",reims,pending,Local Reims
"Implémentation IA à Paris : sprint 90 jours en cabinet",Cas d'usage,implementation ia paris,local,"pme:entreprise_privee",paris,pending,Local Paris impl
"Implémentation IA à Lyon : industrie sur 6 mois",Cas d'usage,implementation ia lyon,local,"pme:entreprise_privee",lyon,pending,Local Lyon impl
"Formation IA à Paris : agenda intra-entreprise",Cas d'usage,formation ia paris,local,"pme:entreprise_privee",paris,pending,Local Paris form
"Formation IA à Bordeaux : 1 jour sur site",Cas d'usage,formation ia bordeaux,local,"pme:entreprise_privee",bordeaux,pending,Local Bdx form
"Formation IA à Toulouse : aéro + sous-traitance",Cas d'usage,formation ia toulouse,local,"pme:entreprise_privee",toulouse,pending,Local TLS form
"Formation IA à Strasbourg : équipes binationales",Cas d'usage,formation ia strasbourg,local,"pme:entreprise_privee",strasbourg,pending,Local STR form
"IA pour mairie : 6 use cases acteurs publics",Cas d'usage,ia pour mairie,informational,"pme:mairie","",pending,Mairie
"IA pour collectivité territoriale : roadmap 12 mois",Cas d'usage,ia pour collectivite territoriale,informational,"eti:collectivite","",pending,Collectivité
"IA pour université : recherche + administration",Cas d'usage,ia pour universite,informational,"grande_entreprise:universite","",pending,Université
"IA pour école privée : pédagogie + gestion",Cas d'usage,ia pour ecole privee,informational,"pme:ecole","",pending,École privée
"IA pour hôpital public : 4 usages cliniques + 3 admin",Cas d'usage,ia pour hopital,informational,"eti:hopital","",pending,Hôpital
"IA pour comité d'entreprise : automatiser sans risquer",Cas d'usage,ia pour comite entreprise,informational,"pme:comite_entreprise","",pending,CE
"IA pour OPCO : plan formation + suivi prestataires",Cas d'usage,ia pour opco,informational,"pme:opco","",pending,OPCO
"IA pour association loi 1901 : 5 cas concrets",Cas d'usage,ia pour association loi 1901,informational,"tpe:association","",pending,Association
"IA pour startup early-stage : la stack minimale",Cas d'usage,ia pour startup,informational,"tpe:entreprise_privee","",pending,Startup
"IA pour éditeur SaaS : 4 usages produit + 3 internes",Cas d'usage,ia pour saas,informational,"pme:entreprise_privee","",pending,SaaS
"IA pour agence marketing : workflow complet client",Cas d'usage,ia pour agence marketing,informational,"tpe:entreprise_privee","",pending,Agence
"IA pour agence SEO : pipeline production + analyse",Cas d'usage,ia pour agence seo,informational,"tpe:entreprise_privee","",pending,Agence SEO
"IA pour franchise : déploiement multi-site cohérent",Cas d'usage,ia pour franchise,informational,"pme:entreprise_privee","",pending,Franchise
"IA pour restaurant : prise de commande + reviews",Cas d'usage,ia pour restaurant,informational,"tpe:entreprise_privee","",pending,Resto
"IA pour hôtel indépendant : réservation + concierge",Cas d'usage,ia pour hotel,informational,"tpe:entreprise_privee","",pending,Hôtel
"IA pour artisan : prospection + devis + relance",Cas d'usage,ia pour artisan,informational,"tpe:entreprise_privee","",pending,Artisan
"IA pour entreprise BTP : chiffrage + suivi chantier",Cas d'usage,ia pour btp,informational,"pme:entreprise_privee","",pending,BTP
"IA pour entreprise de transport : tournées + maintenance",Cas d'usage,ia pour transport,informational,"pme:entreprise_privee","",pending,Transport
"IA pour agence immobilière : annonces + matching",Cas d'usage,ia pour immobilier,informational,"tpe:entreprise_privee","",pending,Immo
"IA pour cabinet d'assurance : devis + sinistres",Cas d'usage,ia pour assurance,informational,"pme:entreprise_privee","",pending,Assurance
"IA pour mutuelle : remboursements + accompagnement adhérents",Cas d'usage,ia pour mutuelle,informational,"eti:entreprise_privee","",pending,Mutuelle
"IA pour cabinet notaire : actes + recherches conformité",Cas d'usage,ia pour notaire,informational,"tpe:entreprise_privee","",pending,Notaire
"IA pour cabinet d'huissier : recouvrement + suivi",Cas d'usage,ia pour huissier,informational,"tpe:entreprise_privee","",pending,Huissier
"IA pour conseiller en gestion de patrimoine : 6 cas validés",Cas d'usage,ia pour conseiller patrimoine,informational,"tpe:entreprise_privee","",pending,CGP
"IA pour expert-comptable indépendant : 8 prompts qui changent tout",Cas d'usage,ia pour expert comptable independant,informational,"tpe:entreprise_privee","",pending,EC indé
"IA pour avocat indépendant : recherche + rédaction + facturation",Cas d'usage,ia pour avocat independant,informational,"tpe:entreprise_privee","",pending,Avocat indé
"IA pour ESN : automatiser le delivery sans casser la qualité",Cas d'usage,ia pour esn,informational,"pme:entreprise_privee","",pending,ESN
"IA pour studio web : du brief client à la livraison",Cas d'usage,ia pour studio web,informational,"tpe:entreprise_privee","",pending,Studio web
"IA pour freelance : 7 outils essentiels en 2026",Outils,ia pour freelance,commercial_investigation,"tpe:entreprise_privee","",pending,Freelance
"IA pour consultant indépendant : workflow client de A à Z",Cas d'usage,ia pour consultant independant,informational,"tpe:entreprise_privee","",pending,Consultant indé
"IA pour coach professionnel : préparation + suivi clients",Cas d'usage,ia pour coach professionnel,informational,"tpe:entreprise_privee","",pending,Coach
"IA pour formateur indépendant : génération supports + LMS",Cas d'usage,ia pour formateur independant,informational,"tpe:entreprise_privee","",pending,Formateur
"Pipeline d'audit IA en cabinet comptable : J1 à J5",Méthodologie,audit ia cabinet comptable methode,informational,"pme:entreprise_privee","",pending,Pipeline audit
"Pipeline d'implémentation IA cabinet d'avocats : 60 jours",Méthodologie,implementation cabinet avocats,informational,"pme:entreprise_privee","",pending,Pipeline impl
"De l'audit Flash à l'implémentation : parcours 6 mois",Méthodologie,audit flash a implementation,informational,"pme:entreprise_privee","",pending,Parcours complet
"Du POC à la production IA : franchir le « POC purgatory »",Méthodologie,poc production ia,informational,"eti:entreprise_privee","",pending,POC purgatory
"Mesurer le ROI d'une intervention IA : 5 indicateurs",Méthodologie,roi intervention ia mesure,informational,"pme:entreprise_privee","",pending,Mesure ROI
"Construire son business case IA : template + chiffres",Stratégie,business case ia,commercial_investigation,"eti:entreprise_privee","",pending,Business case
"30 jours d'IA en cabinet comptable : journal de bord",Cas d'usage,30 jours ia cabinet comptable,informational,"tpe:entreprise_privee","",pending,Journal bord
"60 jours d'IA en agence marketing : ce qui a marché",Cas d'usage,60 jours ia agence marketing,informational,"tpe:entreprise_privee","",pending,REX agence
"90 jours d'IA en PME industrielle : 4 chantiers, 1 leçon",Cas d'usage,90 jours ia pme industrielle,informational,"pme:entreprise_privee","",pending,REX industrie
"180 jours d'IA en ETI : ce que personne ne dit",Cas d'usage,180 jours ia eti,informational,"eti:entreprise_privee","",pending,REX ETI
"Chatbot interne IA pour onboarding : montage en 1 semaine",Cas d'usage,chatbot interne onboarding,informational,"pme:entreprise_privee","",pending,Chatbot onboarding
"Assistant IA pour direction RH : agenda + entretiens + suivi",Cas d'usage,assistant ia rh direction,informational,"pme:entreprise_privee","",pending,Assistant RH
"IA pour la qualité ISO 9001 : automatiser sans bricolage",Cas d'usage,ia qualite iso 9001,informational,"pme:entreprise_privee","",pending,ISO
"IA pour conformité ISO 27001 : monitoring continu",Cas d'usage,ia conformite iso 27001,informational,"eti:entreprise_privee","",pending,ISO27001
"Cybersécurité IA : 5 usages défensifs + 3 offensifs",Cas d'usage,cybersecurite ia,informational,"eti:entreprise_privee","",pending,Cybersec
"Détection d'anomalies IA en finance : pipeline + alertes",Cas d'usage,detection anomalies ia finance,informational,"eti:entreprise_privee","",pending,Anomalies
"Prédiction de churn IA : modèle SaaS B2B vs B2C",Cas d'usage,prediction churn ia,informational,"pme:entreprise_privee","",pending,Churn
"Pricing dynamique IA : 3 cas e-commerce testés",Cas d'usage,pricing dynamique ia,informational,"pme:entreprise_privee","",pending,Pricing dyn
"Analyse de panier IA en retail : recommandations cross-sell",Cas d'usage,analyse panier ia retail,informational,"pme:entreprise_privee","",pending,Cross-sell
"Optimisation stock IA : éviter ruptures + sur-stock",Cas d'usage,optimisation stock ia,informational,"pme:entreprise_privee","",pending,Stock
"Demand forecasting IA : du B2B au retail saisonnier",Cas d'usage,demand forecasting ia,informational,"eti:entreprise_privee","",pending,Forecasting
"Optimisation tournées IA en transport : 4 algorithmes comparés",Cas d'usage,optimisation tournees ia,informational,"pme:entreprise_privee","",pending,Tournées
"Reconnaissance facturielle IA : OCR vs vision multimodale",Cas d'usage,reconnaissance facturielle ia,informational,"tpe:entreprise_privee","",pending,OCR facture
"Extraction tableaux PDF IA : 5 cas réels",Cas d'usage,extraction tableaux pdf ia,informational,"pme:entreprise_privee","",pending,Tableaux PDF
"Analyse de contrats IA : revue automatique + alertes",Cas d'usage,analyse contrats ia,informational,"pme:entreprise_privee","",pending,Contrats analyse
"Synthèse documentaire IA pour direction juridique",Cas d'usage,synthese documentaire ia juridique,informational,"eti:entreprise_privee","",pending,Synthèse jur
"Recherche jurisprudence IA : Doctrine + Lexbase vs IA pure",Outils,recherche jurisprudence ia,commercial_investigation,"pme:entreprise_privee","",pending,Jurisprudence
"Rédaction d'arguments juridiques IA : workflow contrôlé",Cas d'usage,redaction arguments juridiques ia,informational,"pme:entreprise_privee","",pending,Arguments jur
"Conformité douanière IA pour exportateur : 3 outils",Cas d'usage,conformite douaniere ia,informational,"pme:entreprise_privee","",pending,Douane
"Réponse à un appel d'offres public IA : workflow complet",Cas d'usage,reponse ao public ia,informational,"pme:entreprise_privee","",pending,AO public
"Veille concurrentielle européenne IA : 5 sources couvertes",Cas d'usage,veille concurrentielle europeenne ia,informational,"pme:entreprise_privee","",pending,Veille concurrence
"Étude de marché IA en 2 jours : méthodologie complète",Méthodologie,etude marche ia,informational,"pme:entreprise_privee","",pending,Étude marché
"Personas IA : générer + valider en 4 heures",Méthodologie,personas ia,informational,"tpe:entreprise_privee","",pending,Personas
"User research IA : interviews à grande échelle",Méthodologie,user research ia,informational,"pme:entreprise_privee","",pending,User research
"Customer journey mapping IA : outil-par-outil",Méthodologie,customer journey ia,informational,"pme:entreprise_privee","",pending,Journey
"NPS et feedback client IA : pipeline d'analyse",Cas d'usage,nps automatise ia,informational,"pme:entreprise_privee","",pending,NPS
"Réponse aux avis Trustpilot : workflow IA + humain",Cas d'usage,reponse avis trustpilot ia,informational,"tpe:entreprise_privee","",pending,Trustpilot
"Génération d'études de cas IA depuis brief client",Cas d'usage,generation etudes cas ia,informational,"tpe:entreprise_privee","",pending,Études cas
"Création de white papers IA : 8 étapes",Méthodologie,creation white papers ia,informational,"pme:entreprise_privee","",pending,White papers
"Génération de scripts vidéo IA : YouTube + LinkedIn",Cas d'usage,generation scripts video ia,informational,"tpe:entreprise_privee","",pending,Vidéo scripts
"Doublage IA voix française : 4 outils testés",Outils,doublage ia voix francaise,commercial_investigation,"tpe:entreprise_privee","",pending,Doublage
"Sora vs Veo vs Pika : génération vidéo IA 2026",Outils,sora vs veo vs pika,commercial_investigation,"pme:entreprise_privee","",pending,Vidéo gen
