template,service_label,intent,level,for_landing_variant,for_companySize,for_organisationType,priority,notes
"intervention IA {departement_name}",Intervention IA + dpt,commercial_investigation,secondary,"interventions","pme,eti","entreprise_privee",medium,Niveau département
"audit IA {region_name}",Audit IA + région,commercial_investigation,secondary,"audit","pme,eti","entreprise_privee",medium,Niveau région
"intervention IA {region_name}",Intervention IA + région,commercial_investigation,secondary,"interventions","pme,eti","entreprise_privee",medium,Niveau région
"comment auditer IA {audience_label}",Educatif audit,informational,secondary,"audit,generale","tpe,pme,eti","entreprise_privee",medium,Informational
"comment former équipe IA {audience_label}",Educatif formation,informational,secondary,"interventions,generale","pme,eti","entreprise_privee",medium,Informational form
"comment implémenter IA {audience_label}",Educatif impl,informational,secondary,"implementation,generale","pme,eti","entreprise_privee",medium,Informational impl
"combien coute audit IA {ville}",Tarif audit,commercial_investigation,secondary,"audit","tpe,pme","entreprise_privee",medium,Tarif audit
"combien coute intervention IA {ville}",Tarif intervention,commercial_investigation,secondary,"interventions","tpe,pme","entreprise_privee",medium,Tarif intervention
"combien coute implémentation IA {ville}",Tarif impl,commercial_investigation,secondary,"implementation","pme,eti","entreprise_privee",medium,Tarif impl
"prix audit IA {ville}",Prix audit,commercial_investigation,secondary,"audit","tpe,pme","entreprise_privee",medium,Prix audit
"prix formation IA {ville}",Prix formation,commercial_investigation,secondary,"interventions","tpe,pme,eti","entreprise_privee",medium,Prix formation
"tarif intervention IA {ville}",Tarif intervention,commercial_investigation,secondary,"interventions","tpe,pme","entreprise_privee",medium,Tarif
"ROI IA {ville}",ROI argumenté,commercial_investigation,secondary,"generale","pme,eti","entreprise_privee",medium,ROI
"audit IA cabinet {audience_label} {ville}",Audit + secteur + ville,commercial_investigation,primary,"audit","tpe,pme","entreprise_privee",high,Cabinet vertical
"IA pour {audience_label} {ville}",Service vertical + ville,commercial_investigation,primary,"generale","tpe,pme,eti","entreprise_privee,ecole,universite,mairie,collectivite,hopital,association,comite_entreprise,opco,carsat,etablissement_public",high,Vertical complet
