tier,ville,region_slug,url,http_status,h1_ok,cta_ok,5_verticales_ok,json_ld_ok,fallback_used,severity,notes
2,chateauroux,centre-val-de-loire,/fr/implantations/centre-val-de-loire/chateauroux,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,chalons-en-champagne,grand-est,/fr/implantations/grand-est/chalons-en-champagne,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,arras,hauts-de-france,/fr/implantations/hauts-de-france/arras,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,vincennes,ile-de-france,/fr/implantations/ile-de-france/vincennes,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,saint-etienne-du-rouvray,normandie,/fr/implantations/normandie/saint-etienne-du-rouvray,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,talence,nouvelle-aquitaine,/fr/implantations/nouvelle-aquitaine/talence,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,carcassonne,occitanie,/fr/implantations/occitanie/carcassonne,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,laval,pays-de-la-loire,/fr/implantations/pays-de-la-loire/laval,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,aubagne,provence-alpes-cote-dazur,/fr/implantations/provence-alpes-cote-dazur/aubagne,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,bron,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/bron,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,macon,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/macon,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,lanester,bretagne,/fr/implantations/bretagne/lanester,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,joue-les-tours,centre-val-de-loire,/fr/implantations/centre-val-de-loire/joue-les-tours,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
2,thionville,grand-est,/fr/implantations/grand-est/thionville,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,saint-genis-pouilly,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/saint-genis-pouilly,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,chenove,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/chenove,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,dinan,bretagne,/fr/implantations/bretagne/dinan,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,saint-avertin,centre-val-de-loire,/fr/implantations/centre-val-de-loire/saint-avertin,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,porto-vecchio,corse,/fr/implantations/corse/porto-vecchio,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique - region noindex:true (Corse Phase 2)"
3,woippy,grand-est,/fr/implantations/grand-est/woippy,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,bailleul,hauts-de-france,/fr/implantations/hauts-de-france/bailleul,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,carrieres-sur-seine,ile-de-france,/fr/implantations/ile-de-france/carrieres-sur-seine,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,bois-guillaume,normandie,/fr/implantations/normandie/bois-guillaume,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,saint-jean-de-luz,nouvelle-aquitaine,/fr/implantations/nouvelle-aquitaine/saint-jean-de-luz,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,saint-gilles,occitanie,/fr/implantations/occitanie/saint-gilles,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,la-fleche,pays-de-la-loire,/fr/implantations/pays-de-la-loire/la-fleche,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,ollioules,provence-alpes-cote-dazur,/fr/implantations/provence-alpes-cote-dazur/ollioules,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,belleville-en-beaujolais,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/belleville-en-beaujolais,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,audincourt,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/audincourt,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,pontivy,bretagne,/fr/implantations/bretagne/pontivy,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,montargis,centre-val-de-loire,/fr/implantations/centre-val-de-loire/montargis,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,borgo,corse,/fr/implantations/corse/borgo,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique - region noindex:true (Corse Phase 2)"
3,romilly-sur-seine,grand-est,/fr/implantations/grand-est/romilly-sur-seine,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
3,saint-omer,hauts-de-france,/fr/implantations/hauts-de-france/saint-omer,200,yes,yes,no,yes,yes,P1,"Stub noindex (no copy) - 5 verticales grid absent - fallback statique"
