url_pattern,type,ssg,dynamic_params,revalidate,auth_required,notes
/[locale]/ressources,dynamic_page,yes,locale,3600,no,"Resources index ISR 1h"
/[locale]/reserver,static_page,yes,locale,none,no,"Booking calendar"
/[locale]/stack-ia,static_page,yes,locale,none,no,"AI stack index"
/[locale]/stack-ia/[tool],dynamic_page,false,locale+tool,3600,no,"AI tool detail SSG"
/[locale]/tarifs,static_page,yes,locale,3600,no,"Pricing page"
/[locale]/transparence,static_page,yes,locale,86400,no,"Transparency page"
/[locale]/un-a-un,static_page,yes,locale,86400,no,"1-on-1 coaching hub"
/[locale]/un-a-un/par-ville/[ville],dynamic_page,partial,locale+ville,86400,no,"1-on-1 by city ISR"
/[locale]/[...catchall],dynamic_page,no,locale+path,0,no,"Catch-all 404 handler no-cache"
/[locale]/(admin)/[adminPrefix],admin_page,no,locale+adminPrefix,none,yes,"Admin requires auth"
/api/auth/[...nextauth],api_route,no,path,none,no,"NextAuth handlers"
/api/healthz,api_route,no,none,none,no,"Health check"
/api/vitals,api_route,no,none,none,no,"Web Vitals analytics"
/api/unsubscribe,api_route,no,none,none,no,"Newsletter unsubscribe"
/api/indexnow,api_route,no,none,none,no,"IndexNow webhook"
/api/indexnow/key,api_route,no,none,none,no,"Get IndexNow key"
/api/stripe/webhook,api_route,no,none,none,no,"Stripe webhook"
/api/docuseal/webhook,api_route,no,none,none,no,"Docuseal webhook"
/api/admin/session-ping,api_route,no,none,none,yes,"Session ping"
/api/admin/invoices/[id]/pdf,api_route,no,id,none,yes,"Invoice PDF export"
/api/content-gen/export,api_route,no,none,none,yes,"Content export CSV"
/api/content-gen/geo-events,api_route,no,none,none,yes,"Geo events webhook"
/api/content-gen/jobs/[id]/stream,api_route,no,id,none,yes,"Stream job"
/api/content-gen/preview/[jobId],api_route,no,jobId,none,no,"Preview job output"
/api/internal/kb/search,api_route,no,none,none,no,"KB search public"
/api/internal/kb/ingest,api_route,no,none,none,yes,"KB ingest internal"
/api/internal/revalidate,api_route,no,none,none,yes,"Manual revalidate"
/api/gdpr-export/request,api_route,no,none,none,no,"GDPR export request"
/api/gdpr-export,api_route,no,none,none,yes,"GDPR export download"
/api/gdpr-erase,api_route,no,none,none,yes,"GDPR erasure"
/api/image-bank/import,api_route,no,none,none,yes,"Image import webhook"
/api/markdown/[type]/[slug],api_route,no,type+slug,none,no,"Markdown export"
/api/admin/articles/[id]/forget,api_route,no,id,none,yes,"Article forget GDPR"
/api/admin/articles/[id]/provenance,api_route,no,id,none,yes,"Article provenance"
/api/admin/content-gen/articles/[id]/feedback,api_route,no,id,none,yes,"Article feedback"
/api/admin/newsletter/export,api_route,no,none,none,yes,"Export newsletter"
/api/admin/submissions/export,api_route,no,none,none,yes,"Export submissions"
/ai.txt,text_route,no,none,none,no,"LLM policy"
/llms.txt,text_route,no,none,none,no,"LLMs.txt standardized"
/llms-full.txt,text_route,no,none,none,no,"Full LLMs context"
/.well-known/security.txt,text_route,no,none,none,no,"Security RFC 9116"
/.well-known/ai-policy.json,json_route,no,none,none,no,"AI policy JSON"
/sitemap-index.xml,xml_sitemap,no,none,none,no,"Main sitemap index"
/sitemap-news.xml,xml_sitemap,no,none,none,no,"News sitemap"
/sitemap-images-services.xml,xml_sitemap,no,none,none,no,"Image services sitemap"
/sitemap-images-villes-t1.xml,xml_sitemap,no,none,none,no,"Image cities tier-1"
/sitemap-images-villes-t2.xml,xml_sitemap,no,none,none,no,"Image cities tier-2"
/sitemap-images-villes-t3-t4.xml,xml_sitemap,no,none,none,no,"Image cities tier-3-4"
/sitemaps/images-fr.xml,xml_sitemap,no,none,none,no,"Images FR"
/sitemaps/images-en.xml,xml_sitemap,no,none,none,no,"Images EN"
