url-pattern|schema-type|required-fields-ok|issues
/[locale]/implementation/par-ville/[ville]/page|Same as audit/par-ville|YES|Same template — identical
/[locale]/un-a-un/par-ville/[ville]/page|Same as audit/par-ville|YES|Same template — identical
/[locale]/implantations/[region]/[ville]/page (hub)|Service|YES|name/description/url/provider/areaServed[City+AdministrativeArea+Country]/dateModified — all present — OK
/[locale]/implantations/[region]/[ville]/page (hub)|Place|YES|@type/name/url/geo(GeoCoordinates+lat+lon)/containedInPlace(Place+name+url)/population via additionalProperty — all present — OK
/[locale]/implantations/[region]/[ville]/page (hub)|BreadcrumbList|YES|3-level; @id; itemListElement[position/name/item absolute URL] — OK
/[locale]/implantations/[region]/[ville]/page (hub)|ItemList (5 verticales)|YES|name/url/numberOfItems/itemListElement[position/name/description/url] — OK; 5 items expected
/[locale]/implantations/[region]/[ville]/page (hub)|FAQPage (conditional)|CONDITIONAL|faqSpeakableJsonLd only emitted if villeSpecificFaqs.length>0; additionalSelectors[data-speakable-hero] added — OK; Note in code: VilleFaqGeolocalisee emits its own FAQPage — POSSIBLE DUPLICATE P1
/[locale]/implantations/[region]/[ville]/[verticale]/page|Service|YES|name/description/url/provider/areaServed[City+AdministrativeArea+Country] — OK
/[locale]/implantations/[region]/[ville]/[verticale]/page|BreadcrumbList|YES|4-level breadcrumb; @id; itemListElement — OK
/[locale]/implantations/[region]/[ville]/[verticale]/page|WebPage|PARTIAL|@id/url/name/description/inLanguage/isPartOf/@id/breadcrumb/@id present; datePublished sourced from article.publishedAt?.toISOString() — RISK: if article.publishedAt is null, field emitted as undefined — P1 BUG
/[locale]/VilleEcosystemeLocal (component)|Place|PARTIAL|@context/@type/name/address(PostalAddress+addressLocality+addressRegion+addressCountry)/containedInPlace — OK; NO @id — minor; NO geo (intentional) — OK; uses dangerouslySetInnerHTML direct in component (not JsonLd/JsonLdGraph wrapper) — P2 WARNING (bypasses strategy deferral)
/[locale]/VilleCommunesProches (component)|ItemList|PARTIAL|@context/@type/name/numberOfItems/itemListElement[position/url/name] — OK; urls are RELATIVE paths (not absolute) — P0 BUG: Google requires absolute URLs in ItemList itemListElement
/[locale]/galerie/page|ImageObject (image-bank)|CONDITIONAL|imageJsonldGraph.service — emits via image-jsonld-graph.service.ts; not directly audited here
/[locale]/galerie/[slug]/page|ImageObject|CONDITIONAL|Same service — not directly audited
/[locale]/(admin)/*|All schemas noindex|INFO|Admin pages have noindex robots — JSON-LD is technically present in layout but irrelevant for Google indexation
