ville,region_slug,url,http_status,h1_has_ville,5_verticales_cards,orange_banner,ecosysteme_local,json_ld_ok,breadcrumb_ok,severity,notes
villeurbanne,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/villeurbanne,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy villeurbanne.ts présent. pop:163684."
aix-en-provence,provence-alpes-cote-d-azur,/fr/implantations/provence-alpes-cote-d-azur/aix-en-provence,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy aix-en-provence.ts présent. pop:149695."
brest,bretagne,/fr/implantations/bretagne/brest,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy brest.ts présent. pop:142346."
le-mans,pays-de-la-loire,/fr/implantations/pays-de-la-loire/le-mans,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy le-mans.ts présent. pop:146249."
tours,centre-val-de-loire,/fr/implantations/centre-val-de-loire/tours,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy tours.ts présent. pop:139259."
amiens,hauts-de-france,/fr/implantations/hauts-de-france/amiens,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy amiens.ts présent. pop:136449."
limoges,nouvelle-aquitaine,/fr/implantations/nouvelle-aquitaine/limoges,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy limoges.ts présent. pop:129937."
annecy,auvergne-rhone-alpes,/fr/implantations/auvergne-rhone-alpes/annecy,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy annecy.ts présent. pop:132117."
perpignan,occitanie,/fr/implantations/occitanie/perpignan,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy perpignan.ts présent. pop:121616."
metz,grand-est,/fr/implantations/grand-est/metz,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy metz.ts présent. pop:122572."
besancon,bourgogne-franche-comte,/fr/implantations/bourgogne-franche-comte/besancon,INFRA_ERR,yes,yes,yes,yes,partial,yes,P0-INFRA,"HTTP 500 global - même cause. Copy besancon.ts présent. pop:118489."
